SUB CAT NAME
"['OIL', 'GHEE']"
"['BREAKFAST CEREALS', 'FLOOR CLEANERS', 'BREAKFAST CEREALS', 'BAKERY ITEMS', 'BAKERY ITEMS', 'BAKERY ITEMS']"
"['BATH SOAP & BODYWASH', 'REPELLENTS', 'DAIRY', 'REPELLENTS', 'PAPAD']"
"['DETERGENTS', 'FLOOR CLEANERS', 'COLD & FROZEN FOODS']"
"['TOILET BATHROOM CLEANERS', 'WHOLE CEREALS', 'FLOOR CLEANERS', 'FLOURS', 'DETERGENTS']"
"['SALT', 'SUGAR', 'RICE', 'DISPOSABLES/ PARTY SUPPLIES', 'MASALA & GROUND SPICE  POWDER']"
['DAL&PULSES']
"['SWEETS', 'DAIRY', 'FLOOR CLEANERS', 'DAIRY']"
"['SALT', 'SWEETS', 'FLOOR CLEANERS', 'DAIRY', 'CONFECTIONERY', 'UTENSIL SOAPS/SCRUBBER', 'INSTANT SNACKS', 'FRYUMS', 'JUICES']"
"['DAIRY', 'FLOURS', 'GOURMET ETHNIC CUISINES', 'DAIRY', 'VEGETABLES', 'VEGETABLES', 'DAIRY', 'SPICES OTHERS', 'BAKERY ITEMS', 'FLOOR CLEANERS', 'UPWAS MAIN ITEMS', 'GOURMET ETHNIC CUISINES', 'INSTANT SNACKS', 'JUICES']"
"['JUICES', 'JUICES', 'SAUCE', 'PAPAD', 'PICKLES', 'OIL', 'COLD & FROZEN FOODS', 'SPREADS', 'DAIRY', 'PICKLES', 'VEGETABLES', 'DAIRY', 'CARBONATED', 'CARBONATED', 'SPREADS', 'DRINK MIXES', 'COLD & FROZEN FOODS', 'CHIPS', 'COLD & FROZEN FOODS', 'COLD & FROZEN FOODS']"
"['INSTANT SNACKS', 'TOOTHPASTE', 'HAIR COLOURS & DYES', 'BISCUITS', 'BISCUITS', 'UTENSIL SOAPS/SCRUBBER', 'UTENSIL SOAPS/SCRUBBER', 'UTENSIL SOAPS/SCRUBBER', 'CHOCOLATES', 'BISCUITS', 'BATH SOAP & BODYWASH', 'BISCUITS', 'FLOOR CLEANERS', 'PICKLES', 'MASALA & GROUND SPICE  POWDER']"
"['FLOURS', 'COLD & FROZEN FOODS', 'COLD & FROZEN FOODS']"
"['CHIPS', 'SUGAR', 'DAIRY', 'FLOOR CLEANERS', 'NAMKEENS', 'DETERGENTS', 'FRESHNERS']"
"['FLOURS', 'DAIRY', 'BAKING', 'BAKING', 'FLOOR CLEANERS', 'BAKING', 'SUGAR', 'BAKING', 'BAKING', 'HOME TOOLS & SUPPLIES', 'BAKING']"
"['DAIRY', 'CONFECTIONERY', 'DAIRY', 'CARBONATED', 'DAIRY', 'CONFECTIONERY']"
"['SPICES OTHERS', 'COLD & FROZEN FOODS', 'JUICES', 'FLOURS']"
"['HAIR OILS', 'DETERGENTS', 'BISCUITS', 'DEO & ANTIPERSPIRANTS', 'SPICES OTHERS', 'DETERGENTS', 'VEGETABLES', 'UTENSIL SOAPS/SCRUBBER', 'DAIRY', 'PICKLES', 'BATH SOAP & BODYWASH', 'BATH SOAP & BODYWASH', 'POOJA ITEMS', 'GHEE', 'LAUNDRY AIDS', 'DETERGENTS', 'BATH SOAP & BODYWASH', 'FLOURS', 'HANDWASH/SANITIZERS', 'FLOOR CLEANERS']"
"['FLOURS', 'JUICES', 'TOILET BATHROOM CLEANERS', 'OIL', 'DAIRY', 'HANDWASH/SANITIZERS', 'DAIRY', 'FACEWASH', 'DETERGENTS', 'DAIRY', 'VEGETABLES', 'FLOOR CLEANERS', 'DETERGENTS', 'FRESHNERS', 'TOOTHBRUSH']"
"['FLOOR CLEANERS', 'ICECEAM', 'ICECEAM']"
"['JUICES', 'FLOOR CLEANERS', 'ICECEAM', 'JUICES']"
"['BREAKFAST CEREALS', 'DAIRY', 'DAIRY', 'FLOOR CLEANERS', 'DRINK MIXES', 'HEALTHDRINKS', 'DAIRY', 'DAIRY', 'DAIRY', 'HANDWASH/SANITIZERS', 'HOME TOOLS & SUPPLIES', 'DAIRY', 'DAIRY', 'DAIRY']"
"['BISCUITS', 'COLD & FROZEN FOODS', 'FLOOR CLEANERS', 'DAIRY']"
"['BREAKFAST CEREALS', 'SHAMPOO', 'UTENSIL SOAPS/SCRUBBER', 'INSTANT MEALS', 'SUGAR', 'SUGAR', 'INSTANT MEALS', 'SURFACE/GLASS CLEANERS', 'INSTANT MEALS', 'HAIR COLOURS & DYES', 'HAIR COLOURS & DYES']"
